Code,Short Name(In Chinese),Short Name,Full Name,Web Site,
601801,皖新传媒,WANXIN MEDIA,"ANHUI XINHUA MEDIA CO., LTD",www.ahsxhsd.com,
601808,中海油服,COSL,China Oilfield Services Limited,www.cosl.com.cn,
601811,新华文轩,Xinhua Winshare,"Xinhua Winshare Publishing and Media Co., Ltd.",http://www.winshare.com.cn,
601818,光大银行,CEB BANK,CHINA EVERBRIGHT BANK COMPANY LIMITED,www.cebbank.com,
601828,美凯龙,Red Star Macalline,Red Star Macalline Group Corporation Ltd.,www.chinaredstar.com,
601838,成都银行,BANK OF CHENGDU,"BANK OF CHENGDU CO., LTD.",http://www.bocd.com.cn,
601857,中国石油,PetroChina,PetroChina Company Limited,www.petrochina.com.cn,
601858,中国科传,CSPM,China Science Publishing & Media Ltd.,www.sciencep.com,
601860,紫金银行,-,-,www.zjrcbank.com,
601865,福莱特,Flat Glass Group,"Flat Glass Group Co., Ltd.",www.flatgroup.com.cn,
601866,中远海发,COSCO SHIPPING Development,"COSCO SHIPPING Development Co.,Ltd.",http://development.coscoshipping.com,
601869,长飞光纤,YOFC,Yangtze Optical Fibre and Cable Joint Stock Limited Company,www.yofc.com,
601872,招商轮船,CMES,"CHINA MERCHANTS ENERGY SHIPPING CO., LTD.",www.cmenergyshipping.com,
601877,正泰电器,CHINT ELECTRICS,"ZHEJIANG CHINT ELECTRICS CO.,LTD.",www.chint.net,
601878,浙商证券,-,-,www.stocke.com.cn,
601880,大连港,Dalian Port,Dalian Port (PDA) Company Limited,www.dlport.cn,
601881,中国银河,CHINA GALAXY,"China Galaxy Securities Co., Ltd.",www.chinastock.com.cn,
601882,海天精工,-,"NINGBO HAITIAN PRECISION MACHINERY CO., LTD.",www.hision.com.cn,
601886,江河集团,JANGHO,"Jangho  Group Co., Ltd.",http://www.jangho.com,
601888,中国国旅,CITS,China lnternationnal Travel Service Corporation Limited,http://www.citsgroup.net/,
601890,亚星锚链,AsAc,"Asian Star Anchor Chain Co.,Ltd.Jiangsu",http://www.asac.cn/,
601898,中煤能源,China Coal Energy,China Coal Energy Company Limited,www.chinacoalenergy.com,
601899,紫金矿业,Zijin Mining,Zijin Mining Group Company Limited,www.zjky.cn,
601900,南方传媒,SPM,Southern Publishing and Media Company Limited,www.nfcb.com.cn,
601901,方正证券,Founder Securities,"Founder Securities Co., Ltd.",www.foundersc.com,
601908,京运通,JYT,"Beijing Jingyuntong Technology Co.,Ltd.",www.jingyuntong.com,
601918,新集能源,XINJI ENERGY,"CHINA COAL XINJI ENERGY CO.,LTD",-,
601919,中远海控,COSCO SHIP HOLD,"COSCO SHIPPING Holdings Co., Ltd.",www.chinacosco.com,
601928,凤凰传媒,PHOENIX MEDIA,JIANGSU PHOENIX PUBLISHING&MEDIA CORPORATION LIMITED,www.ppm.cn,
601929,吉视传媒,JISHI MEDIA,"JISHI MEDIA CO., LTD.",www.jishimedia.com,
601933,永辉超市,YONGHUI SUPERSTORES,"YONGHUI SUPERSTORES CO., LTD.",www.yonghui.com.cn,
601939,建设银行,CCB,CHINA CONSTRUCTION BANK CORPORATION,www.ccb.com,
601949,中国出版,China Publishing & Media,"China Publishing & Media Holdings Co., Ltd.",www.cnpubc.com,
601952,苏垦农发,Suken Agriculture,"Jiangsu Provincial Agricultural Reclamation and Development Co.,Ltd",http://www.skiad.com.cn,
601958,金钼股份,JDCMOLY,"Jinduicheng Molybdenum Co.,Ltd",www.jdcmoly.com,
601965,中国汽研,CAERI,"CHINA AUTOMOTIVE ENGINEERING RESEARCH INSTITUE CO.,LTD",www.caeri.com.cn,
601966,玲珑轮胎,Linglong Tyre,"Shandong Linglong Tyre Co.,Ltd",www.linglong.cn,
601968,宝钢包装,Baosteelpackage,"Shanghai Baosteel Packaging Co.,Ltd",www.baosteelpack.cn,
601969,海南矿业,Hainan Mining,"Hainan Mining Co.,Ltd",http://www.hnmining.com,
601975,ST长油,NJTC,NANJING TANKER CORPORATION,http://njtc.sinotrans-csc.com/,
601985,中国核电,CNNP,"China National Nuclear Power Co., Ltd.",www.cnnp.com.cn,
601988,中国银行,Bank of China,BANK OF CHINA LIMITED,www.boc.cn,
601989,中国重工,CSICL,China Shipbuilding Industry Company Limited,http://www.csicl.com.cn/,
601990,南京证券,NSC,"Nanjing Securities Co., Ltd.",www.njzq.com.cn,
601991,大唐发电,Datang Power,"Datang International Power Generation Co.,Ltd.",www.dtpower.com,
601992,金隅集团,BBMG,BBMG Corporation,www.bbmg.com.cn/listco,
601996,丰林集团,Fenglin Group,"Guangxi Fenglin Wood lndustry Group Co.,Ltd.",www.fenglingroup.com,
601997,贵阳银行,BANK OF GUIYANG,BANK OF GUIYANG CO.LTD.,www.96033.cn,
601998,中信银行,CNCB,CHINA CITIC BANK CORPORATION LIMITED,www.citicbank.com,
601999,出版传媒,NUPMG,Northern United Publishing & Media （Group） Company Limited,www.nupmg.com,
603000,人民网,People.cn,"People.cn CO.,LTD",www.people.com.cn,
603001,奥康国际,AoKang ,"ZheJiang AoKang Shoes Co., Ltd.",www.aokang.com,
603002,宏昌电子,EBEM,EPOXY BASE ELECTRONIC MATERIAL  CORPORATION LIMITED,www.graceepoxy.com,
603003,龙宇燃油,"Shanghai Lonyer Fuels CO.,LTD","SHANGHAI LONYER FUELS CO., LTD",www.lyrysh.com,
603005,晶方科技,WLCSP,"China Wafer Level CSP Co., Ltd",www.wlcsp.com,
603006,联明股份,Lianming,"Shanghai Lianming Machinery Co.,Ltd",http://www.shanghailmjx.com/,
603007,花王股份,-,Flower King Eco-Engineering Inc.,http://www.flowersking.com/,
603008,喜临门,XILINMEN,"XILINMEN FURNITURE CO.,LTD.",http://www.chinabed.com/,
603009,北特科技,SHBT,"SHANGHAI BEITE TECHNOLOGY CO.,LTD.",http://www.sh-beite.com,
603010,万盛股份,-,"Zhejiang Wansheng Co.,Ltd",http://www.ws-chem.com/,
603011,合锻智能,HFM,"Hefei Metalforming Intelligent Manufacturing Co., Ltd.",http://www.hfpress.com,
603012,创力集团,Chuangli Group,"Shanghai Chuangli Group CO.,LTD.",http://www.shclkj.com/,
603013,亚普股份,YAPP,"YAPP Automotive Systems Co., Ltd.",www.yapp.com,
603015,弘讯科技,TECHMATION,"Ningbo Techmation Co.,Ltd.",www.techmation.com.cn,
603016,新宏泰,New Hongtai,"Wuxi New Hongtai Electrical Technology Co.,Ltd",-,
603017,中衡设计,ARTS Group,"ARTS Group Co., Ltd",www.artsgroup.cn,
603018,中设集团,-,"China DesignGroupCo.,Ltd.",www.cdg.com.cn,
603019,中科曙光,Sugon,"Dawning Information Industry Co., Ltd.",www.sugon.com,
603020,爱普股份,Apple Group,"Apple Flavor & Fragrance Group Co., Ltd",www.cnaff.com,
603021,山东华鹏,SDHP,"SHANDONG HUAPENG GLASS CO.,LTD.",http://www.huapengglass.com,
603022,新通联,XINTONGLIAN,"SHANGHAI XINTONGLIAN PACKINF CO.,LTD",www.xtlpacking.com,
603023,威帝股份,viti,Harbin VITI Electronics Corp,www.viti.net.cn,
603025,大豪科技,-,-,www.dahaobj.com,
603026,石大胜华,-,"SHANDONG SHIDA SHENGHUA CHEMICAL GROUP CO.,LTD",http://www.sinodmc.com,
603027,千禾味业,-,"QIANHE CONDIMENT AND FOOD CO., LTD",www.qianhefood.com,
603028,赛福天,safety,"Jiangsu Safety Wire Rope Co., Ltd.",http://www.wxrope.com/,
603029,天鹅股份, Swan Cotton Machinery ,"ShanDong Swan Cotton Industrial Machinery Stock Co., Ltd.",www.sdmj.com.cn,
603030,全筑股份,trendzone,"Shanghai Trendzone Consturction Decoration Group Co.,Ltd",www.trendzone.com.cn,
603031,安德利,Andeli,"Anhui Andeli Department Store Co., Ltd.",http://www.sinoadl.com/,
603032,德新交运,De Xin Road Transportation,"DELIXI XINJIANG Transportation Co.,Ltd.",www.xjdxjy.com ,
603033,三维股份,Three-V,"Zhejiang Sanwei Rubber Item Co.,Ltd ",http://www.three-v.com,
603035,常熟汽饰,CAIP,"Changshu Automotive Trim co.,Ltd.",http://www.caip.com.cn,
603036,如通股份,RT,"JIANGSU RUTONG PETRO-MACHINERY CO., LTD.",www.rutong.com,
603037,凯众股份,Carthane,"Shanghai Carthane Co., LTD",www.carthane.com,
603038,华立股份,HUALI,"HUALI INDUSTRIES CO.,LTD.",http://www.dghuali.com,
603039,泛微网络,WEAVER NETWORK ,"SHANGHAI WEAVER NETWORK CO.,LTD",www.weaver.com.cn,
603040,新坐标,XZB,"Hangzhou XZB Tech Co.,Ltd",www.xzbco.com,
603041,美思德,Maysta,"Jiangsu Maysta Chemical Co., Ltd",www.maysta.com,
603042,华脉科技,Huamai Technology,Nanjing Huamai Technology CO.;Ltd.,www.huamai.cn,
603043,广州酒家,-,"GUANGZHOU RESTAURANT GROUP CO.,LTD.",www.gzr.com.cn,
603045,福达合金,-,-,http://www.china-fuda.com/,
603050,科林电气,-,"ShiJiaZhuang Kelin Electric Co., Ltd.",http://www.kldcop.com,
603055,台华新材,-,"ZHE JIANG TAIHUA NEW MATERIAL CO., LTD.",http://www.textaihua.com/,
603056,德邦股份,DEPPON Corp.,"DEPPON LOGISTICS Co.,LTD.",www.deppon.com,
603058,永吉股份,Yongji Printing,"Gui zhou Yongji Printing Co.,ltd",http://www.yongjigf.com,
603059,倍加洁,Perfect,"Perfect Group Corp.,Ltd",http:// www.toothbrush.com.cn/,
603060,国检集团,CTC,"China Building Material Test & Certification Group Co., Ltd.",www.ctc.ac.cn,
603063,禾望电气,hoepwind,"Shenzhen Hopewind Electric Co., Ltd. ",深圳市南山区西丽官龙村第二工业区11栋,
603066,音飞储存,INFORM,"Nanjing Inform Storage Equipment (Group) Co., Ltd.",http://www.informrack.com/,
603067,振华股份,-,"Hubei ZhenHua Chemical Co., LTD",-,
603069,海汽集团,-,"Hainan Haiqi Transportation Group Co.,Ltd.",www.0898hq.com,
603076,乐惠国际,LEHUI International,"Ningbo Lehui International Engineering Equipment Co.,Ltd.",http://www.lehui.com/,
603077,和邦生物,HBC,"Sichuan Hebang Biotechnology Co.,Ltd.",www.hebang.cn,
603078,江化微,Jianghua Micro,"Jiangyin Jianghuamicro Elctronic Materials Co.,Ltd",http：//www.jianghuamem.com,
603079,圣达生物, SHENGDA BIO-PHARM ,"ZHEJIANG SHENGDA BIO-PHARM CO., LTD",http://www.sd-pharm.com/main.html,
603080,新疆火炬,-,"Xinjiang Torch Gas Co.,Ltd.",www.xjhjrq.com,
